[dotenv@17.3.1] injecting env (3) from .env.local -- tip: 🔐 prevent committing .env to code: https://dotenvx.com/precommit
Sync: C:\Users\bart\OneDrive - Bart Denham Law\Clio → Supabase Storage

Loaded 305 cases for mapping
Found 373 client folders


  Synced: 1 | Skipped: 0 | Errors: 0 | Total: 1
  Synced: 2 | Skipped: 0 | Errors: 0 | Total: 2
  Synced: 3 | Skipped: 0 | Errors: 0 | Total: 3
  Synced: 4 | Skipped: 0 | Errors: 0 | Total: 4
  Synced: 5 | Skipped: 0 | Errors: 0 | Total: 5
  Synced: 6 | Skipped: 0 | Errors: 0 | Total: 6
  Synced: 7 | Skipped: 0 | Errors: 0 | Total: 7
  Synced: 8 | Skipped: 0 | Errors: 0 | Total: 8
  Synced: 9 | Skipped: 0 | Errors: 0 | Total: 9
  Synced: 10 | Skipped: 0 | Errors: 0 | Total: 10
  Synced: 11 | Skipped: 0 | Errors: 0 | Total: 11
  Synced: 12 | Skipped: 0 | Errors: 0 | Total: 12
  Synced: 13 | Skipped: 0 | Errors: 0 | Total: 13
  Synced: 14 | Skipped: 0 | Errors: 0 | Total: 14
  Synced: 15 | Skipped: 0 | Errors: 0 | Total: 15
  Synced: 16 | Skipped: 0 | Errors: 0 | Total: 16
  Synced: 17 | Skipped: 0 | Errors: 0 | Total: 17
  Synced: 18 | Skipped: 0 | Errors: 0 | Total: 18
  Synced: 19 | Skipped: 0 | Errors: 0 | Total: 19
  Synced: 20 | Skipped: 0 | Errors: 0 | Total: 20
  Synced: 21 | Skipped: 0 | Errors: 0 | Total: 21
  Synced: 22 | Skipped: 0 | Errors: 0 | Total: 22
  Synced: 23 | Skipped: 0 | Errors: 0 | Total: 23
  Synced: 24 | Skipped: 0 | Errors: 0 | Total: 24
  Synced: 25 | Skipped: 0 | Errors: 0 | Total: 25
  Synced: 26 | Skipped: 0 | Errors: 0 | Total: 26
  Synced: 27 | Skipped: 0 | Errors: 0 | Total: 27
  Synced: 28 | Skipped: 0 | Errors: 0 | Total: 28
  Synced: 29 | Skipped: 0 | Errors: 0 | Total: 29
  Synced: 30 | Skipped: 0 | Errors: 0 | Total: 30
  Synced: 31 | Skipped: 0 | Errors: 0 | Total: 31
  Synced: 32 | Skipped: 0 | Errors: 0 | Total: 32
  Synced: 33 | Skipped: 0 | Errors: 0 | Total: 33
  Synced: 34 | Skipped: 0 | Errors: 0 | Total: 34
  Synced: 35 | Skipped: 0 | Errors: 0 | Total: 35
  Synced: 36 | Skipped: 0 | Errors: 0 | Total: 36
  Synced: 37 | Skipped: 0 | Errors: 0 | Total: 37
  Synced: 38 | Skipped: 0 | Errors: 0 | Total: 38
  Synced: 39 | Skipped: 0 | Errors: 0 | Total: 39
  Synced: 40 | Skipped: 0 | Errors: 0 | Total: 40
  Synced: 41 | Skipped: 0 | Errors: 0 | Total: 41
  Synced: 42 | Skipped: 0 | Errors: 0 | Total: 42
  Synced: 43 | Skipped: 0 | Errors: 0 | Total: 43
  Synced: 44 | Skipped: 0 | Errors: 0 | Total: 44
  Synced: 45 | Skipped: 0 | Errors: 0 | Total: 45
  Synced: 46 | Skipped: 0 | Errors: 0 | Total: 46
  Synced: 47 | Skipped: 0 | Errors: 0 | Total: 47
  Synced: 48 | Skipped: 0 | Errors: 0 | Total: 48
  Synced: 49 | Skipped: 0 | Errors: 0 | Total: 49
  Synced: 50 | Skipped: 0 | Errors: 0 | Total: 50
  Synced: 51 | Skipped: 0 | Errors: 0 | Total: 51
  Synced: 52 | Skipped: 0 | Errors: 0 | Total: 52
  Synced: 53 | Skipped: 0 | Errors: 0 | Total: 53
